fecha,totalUsoAlDia,horasTotalesDeUso,horasTtotalesDeServicio,horasTotalesDeDisponibilidad,bicicletasMediasDisponibilidad,usoPorAbandonadosOcasionales,usoPorAbandonadosAnuales
2015-10-08T00:00:00Z,3991.13,19894.18,23885.31,995.22,7986,189,8175
2015-11-08T00:00:00Z,4364.4,19817.3,24181.7,1007.57,875,191,8941
2015-12-08T00:00:00Z,4633.72,19725.32,24359.04,1014.96,9132,251,9383
2015-08-13T00:00:00Z,4498.85,19530.97,24029.82,1001.24,8974,236,921
2015-08-14T00:00:00Z,4309.22,22770.43,27079.65,1128.32,8165,231,8396
2015-08-15T00:00:00Z,4156.77,21431.75,25588.52,1066.19,70,297,7297
2015-08-16T00:00:00Z,3921.48,19269.1,23190.58,966.27,677,336,7106
2015-08-17T00:00:00Z,4139.1,18910.27,23049.37,960.39,8362,200,8562
2015-08-18T00:00:00Z,4130.08,19764.92,23895.0,995.63,8796,269,9065
2015-08-19T00:00:00Z,4298.8,20216.48,24515.28,1021.47,891,227,9137
2015-08-20T00:00:00Z,4429.1,20311.57,24740.67,1030.86,9408,294,9702
2015-08-21T00:00:00Z,4288.75,21897.31,26186.06,1091.09,8737,306,9043
2015-08-22T00:00:00Z,4247.52,21262.88,25510.4,1062.93,7668,475,8143
2015-08-23T00:00:00Z,4500.27,18054.25,22554.52,939.77,7911,469,838
2015-08-24T00:00:00Z,4089.2,19661.07,23750.27,989.59,8635,223,8858
2015-08-25T00:00:00Z,4406.8,19250.9,23657.7,985.74,9397,212,9609
2015-08-26T00:00:00Z,4727.38,18599.57,23326.95,971.96,10135,197,10332
2015-08-27T00:00:00Z,4786.27,18617.77,23404.04,975.17,10421,189,1061
2015-08-28T00:00:00Z,4808.35,19826.72,24635.07,1026.46,10309,245,10554
2015-08-29T00:00:00Z,4902.48,18933.37,23835.85,993.16,9433,400,9833
2015-08-30T00:00:00Z,4264.58,16590.13,20854.71,868.95,8022,312,8334
2015-08-31T00:00:00Z,4193.65,17616.37,21810.02,908.75,9601,142,9743
2015-01-09T00:00:00Z,4862.37,15893.35,20755.72,864.82,11238,162,114
2015-02-09T00:00:00Z,5299.17,15529.33,20828.5,867.85,11942,158,121
2015-03-09T00:00:00Z,5577.73,15865.73,21443.46,893.48,12919,171,1309
2015-04-09T00:00:00Z,5399.38,17933.35,23332.73,972.2,12253,177,1243
2015-05-09T00:00:00Z,5619.78,16950.61,22570.39,940.43,10598,454,11052
2015-06-09T00:00:00Z,6045.88,14331.35,20377.23,849.05,10629,561,1119
2015-07-09T00:00:00Z,5006.28,16303.12,21309.4,887.89,10586,226,10812
2015-08-09T00:00:00Z,5602.02,16734.39,22336.41,930.68,12325,194,12519
2015-09-09T00:00:00Z,5851.15,17181.96,23033.11,959.71,12863,184,13047
2015-10-09T00:00:00Z,5911.82,18342.1,24253.92,1010.58,13747,164,13911
2015-11-09T00:00:00Z,6347.5,20914.7,27262.2,1135.93,13558,254,13812
2015-12-09T00:00:00Z,5990.42,18784.65,24775.07,1032.29,11419,513,11932
2015-09-13T00:00:00Z,5927.62,15314.63,21242.25,885.09,10394,549,10943
2015-09-14T00:00:00Z,5101.38,22461.62,27563.0,1148.46,11076,206,11282
2015-09-15T00:00:00Z,4420.27,22451.68,26871.95,1119.66,10079,106,10185
2015-09-16T00:00:00Z,3437.28,22886.11,26323.39,1096.81,7669,64,7733
2015-09-17T00:00:00Z,5186.62,25263.18,30449.8,1268.74,11883,127,1201
2015-09-18T00:00:00Z,6024.15,29454.9,35479.05,1478.29,13478,199,13677
2015-09-19T00:00:00Z,6158.48,27091.52,33250.0,1385.42,12287,328,12615
2015-09-20T00:00:00Z,6386.03,22464.77,28850.8,1202.12,11685,745,1243
2015-09-21T00:00:00Z,5225.35,26901.23,32126.58,1338.61,12068,230,12298
2015-09-22T00:00:00Z,5904.35,27842.22,33746.57,1406.11,13662,130,13792
2015-09-23T00:00:00Z,5701.05,28433.28,34134.33,1422.26,13555,198,13753
2015-09-24T00:00:00Z,6056.5,29494.8,35551.3,1481.3,14077,183,1426
2015-09-25T00:00:00Z,6405.98,31718.06,38124.04,1588.5,14976,332,15308
2015-09-26T00:00:00Z,6680.65,28258.18,34938.83,1455.78,13485,594,14079
2015-09-27T00:00:00Z,6528.42,23754.89,30283.31,1261.8,12377,723,131
2015-09-28T00:00:00Z,5237.5,25403.84,30641.34,1276.72,1188,239,12119
2015-09-29T00:00:00Z,5341.68,33301.37,38643.05,1610.13,12505,130,12635
2015-09-30T00:00:00Z,5716.17,34253.27,39969.44,1665.39,1349,137,13627
2015-01-10T00:00:00Z,5935.95,34877.47,40813.42,1700.56,13882,198,1408
2015-02-10T00:00:00Z,6523.03,35153.0,41676.03,1736.5,15009,250,15259
2015-03-10T00:00:00Z,6574.25,33479.02,40053.27,1668.89,13645,538,14183
2015-04-10T00:00:00Z,5839.33,32420.32,38259.65,1594.15,11192,595,11787
2015-05-10T00:00:00Z,4313.95,34913.58,39227.53,1634.48,981,165,9975
2015-06-10T00:00:00Z,5127.22,34072.05,39199.27,1633.3,12174,144,12318
2015-07-10T00:00:00Z,5479.93,35222.43,40702.36,1695.93,12292,143,12435
2015-08-10T00:00:00Z,5821.52,35344.42,41165.94,1715.25,13045,150,13195
2015-09-10T00:00:00Z,6224.43,34555.3,40779.73,1699.16,13525,241,13766
2015-10-10T00:00:00Z,5830.25,33057.85,38888.1,1620.34,11026,576,11602
2015-11-10T00:00:00Z,4809.15,33199.3,38008.45,1583.69,90,469,9469
2015-12-10T00:00:00Z,5523.72,33300.05,38823.77,1617.66,10093,533,10626
2015-10-13T00:00:00Z,3823.9,36037.46,39861.36,1660.89,8567,104,8671
2015-10-14T00:00:00Z,5203.8,27033.34,32237.14,1343.21,11475,163,11638
2015-10-15T00:00:00Z,5442.45,36070.35,41512.8,1729.7,12349,142,12491
2015-10-16T00:00:00Z,5997.42,35364.96,41362.38,1723.43,13346,185,13531
2015-10-17T00:00:00Z,5026.05,34026.01,39052.06,1627.17,9709,321,1003
2015-10-18T00:00:00Z,3372.28,35124.73,38497.01,1604.04,6005,232,6237
2015-10-19T00:00:00Z,3779.25,36025.45,39804.7,1658.53,8612,175,8787
2015-10-20T00:00:00Z,4872.8,35506.48,40379.28,1682.47,1112,190,1131
2015-10-21T00:00:00Z,4778.0,37004.71,41782.71,1740.95,11229,165,11394
2015-10-22T00:00:00Z,5359.33,36932.97,42292.3,1762.18,11845,171,12016
2015-10-23T00:00:00Z,5601.73,35635.76,41237.49,1718.23,12461,226,12687
2015-10-24T00:00:00Z,5966.83,33903.4,39870.23,1661.26,12004,484,12488
2015-10-25T00:00:00Z,6099.83,32751.48,38851.31,1618.8,11347,495,11842
2015-10-26T00:00:00Z,3655.78,36211.95,39867.73,1661.16,8135,102,8237
2015-10-27T00:00:00Z,3995.98,36825.25,40821.23,1700.88,8764,87,8851
2015-10-28T00:00:00Z,4240.03,37008.0,41248.03,1718.67,9598,77,9675
2015-10-29T00:00:00Z,4664.17,26469.98,31134.15,1297.26,11033,128,11161
2015-10-30T00:00:00Z,5932.73,34569.87,40502.6,1687.61,12678,219,12897
2015-10-31T00:00:00Z,5667.88,33332.77,39000.65,1625.03,11295,395,1169
2015-01-11T00:00:00Z,4996.97,31836.6,36833.57,1534.73,9313,471,9784
2015-02-11T00:00:00Z,2352.3,36163.42,38515.72,1604.82,4764,69,4833
2015-03-11T00:00:00Z,3696.7,36626.93,40323.63,1680.15,8017,98,8115
2015-04-11T00:00:00Z,4061.43,36283.5,40344.93,1681.04,8993,72,9065
2015-05-11T00:00:00Z,4599.72,35749.73,40349.45,1681.23,10403,80,10483
2015-06-11T00:00:00Z,5059.2,35850.4,40909.6,1704.57,11091,161,11252
2015-07-11T00:00:00Z,5707.15,34329.05,40036.2,1668.18,10243,577,1082
2015-08-11T00:00:00Z,5206.53,34312.8,39519.33,1646.64,9359,433,9792
2015-09-11T00:00:00Z,5157.3,34949.3,40106.6,1671.11,8494,492,8986
2015-10-11T00:00:00Z,4606.07,36991.13,41597.2,1733.22,10056,172,10228
2015-11-11T00:00:00Z,5052.3,38017.12,43069.42,1794.56,10706,137,10843
2015-12-11T00:00:00Z,4939.87,38892.38,43832.25,1826.34,11054,137,11191
2015-11-13T00:00:00Z,5787.68,38345.55,44133.23,1838.88,12787,260,13047
2015-11-14T00:00:00Z,5779.75,36420.15,42199.9,1758.33,11376,393,11769
2015-11-15T00:00:00Z,5710.35,36154.05,41864.4,1744.35,10213,459,10672
2015-11-16T00:00:00Z,4412.5,39147.01,43559.51,1814.98,9545,110,9655
2015-11-17T00:00:00Z,4781.6,38631.42,43413.02,1808.88,10372,64,10436
2015-11-18T00:00:00Z,4845.47,39322.68,44168.15,1840.34,10986,73,11059
2015-11-19T00:00:00Z,5178.37,39038.33,44216.7,1842.36,1128,71,11351
2015-11-20T00:00:00Z,5681.32,38715.63,44396.95,1849.87,12149,168,12317
2015-11-21T00:00:00Z,4865.95,38894.38,43760.33,1823.35,9836,311,10147
2015-11-22T00:00:00Z,4071.48,40685.48,44756.96,1864.87,7103,206,7309
2015-11-23T00:00:00Z,3803.92,42084.7,45888.62,1912.03,7836,62,7898
2015-11-24T00:00:00Z,3943.42,42711.44,46654.86,1943.95,8593,69,8662
2015-11-25T00:00:00Z,1145.33,42576.47,43721.8,1821.74,973,63,9793
2015-11-26T00:00:00Z,4731.08,42792.08,47523.16,1980.13,10408,97,10505
2015-11-27T00:00:00Z,5314.52,41915.45,47229.97,1967.92,11242,131,11373
2015-11-28T00:00:00Z,5293.58,40933.23,46226.81,1926.12,10296,379,10675
2015-11-29T00:00:00Z,4831.22,40349.04,45180.26,1882.51,8557,304,8861
2015-11-30T00:00:00Z,4050.65,42516.97,46567.62,1940.32,8398,70,8468
2015-01-12T00:00:00Z,4339.1,43397.2,47736.3,1989.01,9038,58,9096
2015-02-12T00:00:00Z,4357.02,43370.78,47727.8,1988.66,934,64,9404
2015-03-12T00:00:00Z,4712.12,43595.65,48307.77,2012.82,10303,44,10347
2015-04-12T00:00:00Z,4906.65,42316.53,47223.18,1967.63,10806,105,10911
2015-05-12T00:00:00Z,5252.8,40663.3,45916.1,1913.17,933,429,9759
2015-06-12T00:00:00Z,4746.47,40220.95,44967.42,1873.64,8348,503,8851
2015-07-12T00:00:00Z,4124.27,41515.08,45639.35,1901.64,786,250,811
