<<<<<<< HEAD
Fecha;Hora;Día;Nº Incidencia;sitrem;Carretera;MC30;Calzada;Localización;Enlace;Tipo de accidente;Tipo de colisión;Nº Vehículos implicados;Nº Turismos;Nº Motocicletas;Nº vehículos pesados;H.L.;hl;hg;vm;Daños al mobiliario urbano;Circulación;Estado del Firme;Presencia Recursos Externos;Corte Carril;Vertido;Grúa usuario;Grúa Propia EMESA;Grúa Movilidad;Factores Atmosféricos;Visibilidad señalización;Señalización de Peligro;Visibilidad restringida por;Aceras;Árboles;Vehículos denominación;Descripción del accidente;Daños causados al viario;Materiales utilizados;Observaciones;;
01/01/2016;02:10;;20160101-0002; C-E-ACC-01;M30;01NC40;INTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;3;3;;;1;1;;;No;Densa;Seco y Limpio;P. Municipal y SAMUR;Si;No;No;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1;Accidente entre 3 vehículos por alcance que se encuentran ocupando el carril derecho. Ocupantes con ansiedad atendidos por el SAMUR y dados de alta en el punto.;;;Se corta el carril derecho desde las 02:20 h hasta las 03:00 h;;
01/01/2016;13:40;;20160101-0007;C-P-ACC-01;M30;30XC00;EXTERIOR;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;1;1;;;No;Fluida;Seco y Limpio;P. Municipal;Si;No;;No;;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril derecho fuera de zona. 1 herido trasladado al hospital. Policía Municipal comunica al vigilante que se puede retirar del punto.;;;Cuando llega el vigilante la incidencia se encuentra fuera de límites.;;
01/01/2016;18:45;;20160101-0012; C-E-ACC-01;A3;09TC10;ENTRADA;Tronco;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo despues de colisonar contra las barreras. ;10 Barreras y 3 CPNs;6 bolsas;Se corta el carril izquierdo desde las 18:55 h hasta las 20:15.;;
01/01/2016;20:02;;20160101-0013;C-P-ACC-01;M30;08NL80;INTERIOR;VS;Superficie;Colisión de vehículos;Por alcance;2;2;;;;0;;;No;Fluida;Mojado;;No;No;No;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente entre 2 vehículos por alcance que se encuentran ocupando el arcén derecho, ambos se retiran del punto por sus medios cuando llega el vigilante.;;;;;
01/01/2016;20:14;;20160101-0014;C-P-ACC-01;M30;32RJ40;EXTERIOR;Ramal;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1;Accidente de 1 vehículo por salida de vía que colisiona contra un muro de hormigón causando daños en él.;7 metros de muro de hormigón dañados y desplazados.;;Se corta el carril derecho desde las 20:20 h hasta las 21:05 h.;;
01/01/2016;20:47;;20160101-0015;C-P-ACC-01;M30;10XL40;EXTERIOR;Tronco;Superficie;Salida de vía;;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-2;Accidente de 1 vehículo por salida de vía que colisiona contra las barreras causando daños en ellas.;5 Barreras y CPNs;;Se corta el carril derecho desde las 20:52 h hasta las 21:40 h.;;
01/01/2016;22:06;;20160101-0017; C-E-ACC-01;M30;23NC00;INTERIOR;Tronco;Superficie;Vuelco;;1;1;;;;0;;;Si;Fluida;Mojado;P.M., SAMUR y Bomberos;Si;No;Si;No;No;Lluvia;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por vuelco que colisiona contra señales y balizamiento causandoles daños. El ocupante del vehículo no quiere ser atendido por el Samur alegando que se encuentra bien.;1 Bañera, 2 señales de paneles direccionales y 4 hitos;;Se corta el ramal 22RA desde las 22:17 h hasta las 23:17 h.;;
01/01/2016;23:21;;20160101-0018;T-P-ACC-01;M30;14NL18;INTERIOR;Tronco;Túnel;Salida de vía;;1;1;;;;0;;;No;;;;No;No;No;No;No;;;;;;;AIAM Valencia;Accidente de 1 vehículo por salida de vía, este sufre un trompo y se retira del punto por sus medios antes de la llegada de los AIAM Valencia.;;;;;
02/01/2016;02:01;;20160102-0002;C-P-ACC-01;M30;30XC40;EXTERIOR;Tronco;Superficie;Salida de vía;Frontal;1;1;;;;1;;;Si;Fluida;Mojado;P. Municipal y SUMMA;Si;Si;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía, este sufre una colision contra la barrera del lado derecho causando daños en ella. 1 herido trasladado al hospital por el SUMMA.;2 Barreras, 1 CPN y 1 Tubo.;Sepiolita gruesa y desengrasante;Se corta el carril derecho desde las 02:09 h hasta las 03:02 h;;
02/01/2016;03:07;;20160102-0003;C-P-ACC-01;M30;32RA40;INTERIOR;Ramal;Superficie;Salida de vía;Frontal;1;1;;;;0;;;Si;Fluida;Mojado;P. Municipal;Si;No;Si;No;No;Buen Tiempo;Buena;;Sin Restricción;;;V-1 / V-2;Accidente de 1 vehículo por salida de vía, este sufre una colision contra el muro de hormigón del lado izquierdo causando daños en él.;12 metros de muro de hormigón;;Se corta el carril izquierdo desde las 03:07 h hasta las 04:15 h;;
