_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
1,70200,GUADALAJARA,"40,534668","-3,2985719","CALLE FRANCISCO ARITIO, S/N",19004,Guadalajara,Guadalajara,https://data.renfe.com/files/estaciones/FichaEstacion70200.pdf,""
2,70105,AZUQUECA,"40,56104","-3,265446","PASEO ESTACION FERROCARRIL, S/N",19200,Azuqueca de Henares,Guadalajara,https://data.renfe.com/files/estaciones/FichaEstacion70105.pdf,""
3,70108,COSLADA,"40,4241947","-3,5602359","CALLE DOCTOR FLEMING, S/N",21820,Coslada,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70108.pdf,""
4,18001,MADRID-RECOLETOS,"40,423371","-3,690995","PASEO DE RECOLETOS, S/N",28001,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18001.pdf,""
5,18005,PIRAMIDES,"40,402516","-3,711374","PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N",28005,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18005.pdf,""
6,10000,MADRID-PRINCIPE PIO,"40,421389","-3,718968","PASEO DE LA FLORIDA, 2",28008,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10000.pdf,""
7,35609,EMBAJADORES,"40,404609","-3,702592","GLORIETA EMBAJADORES, 6",28012,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35609.pdf,""
8,18101,SOL,"40,416856","-3,702904","PUERTA DEL SOL, S/N",28013,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18101.pdf,""
9,70002,ASAMBLEA DE MADRID-ENTREVIAS,"40,3814976","-3,667215","AVENIDA DE ENTREVIAS, S/N",28018,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70002.pdf,""
10,37001,VILLAVERDE ALTO,"40,341622","-3,712565","CALLE DOMINGO PARRAGA, 42",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37001.pdf,""
11,60100,VILLAVERDE BAJO,"40,3555397","-3,6832514","CALLE ESTACION FERROCARRIL, S/N",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60100.pdf,""
12,60101,SAN CRISTOBAL INDUSTRIAL,"40,3320318","-3,6963666","CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE)",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60101.pdf,""
13,60107,SAN CRISTOBAL DE LOS ANGELES,"40,3419854","-3,683232","CARRETERA DE ANDALUCIA, KM 10.700",28021,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60107.pdf,""
14,10001,ARAVACA,"40,448345","-3,786191","AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N",28023,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10001.pdf,""
15,35603,CUATRO VIENTOS,"40,377714","-3,791574","CALLE ROBERT DE CAPA, 26",28024,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35603.pdf,""
16,35702,DOCE DE OCTUBRE,"40,379224","-3,698976","CALLE TOMELLOSO, 59",28026,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35702.pdf,""
17,70001,VALLECAS,"40,382264","-3,624931","Avenida de la Democracia, 1 ",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70001.pdf,""
18,70003,EL POZO,"40,3765168","-3,6564132","CAMINO DE HORMIGUERAS, S/N",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70003.pdf,""
19,70109,SANTA EUGENIA,"40,3877971","-3,6087501","AVENIDA SANTA EUGENIA, 9",28031,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70109.pdf,""
20,17001,FUENCARRAL,"40,5024656","-3,6817503","CALLE ANTONIO CABEZON, S/N",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17001.pdf,""
21,97200,Mirasierra,"40,499759","-3,709755","CALLE DEL MONASTERIO DE LA HUELGAS, S/N",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97200.pdf,""
22,97201,RAMON Y CAJAL,"40,4880223","-3,6935145","CARRETERA M-607 A COLMENAR, KM. 6.100",28034,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97201.pdf,""
23,97100,PITIS,"40,4956316","-3,7256015","CALLE GLORIA FUERTES, S/N",28035,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion97100.pdf,""
24,17000,MADRID-CHAMARTIN,"40,4732797","-3,6818974","CALLE AGUSTIN DE FOXA, S/N",28036,Madrid,Madrid,"",https://data.renfe.com/files/estaciones/FichaTunel17000.pdf
25,35703,ORCASITAS,"40,367081","-3,704244","CALLE CAMPOTEJAR, 25",28041,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35703.pdf,""
26,35704,PUENTE ALCOCER,"40,350418","-3,705122","CALLE ALCOCER, 54",28041,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35704.pdf,""
