anio,mes,linea,linea-uri,estacion-uri,afluencia-media
2010,Abril,Linea 1,linea-1,balbuena,14297.033333333333
2010,Abril,Linea 1,linea-1,balderas,19769.2
2010,Abril,Linea 1,linea-1,boulevard-puerto-aereo,31022.0
2010,Abril,Linea 1,linea-1,candelaria,21987.8
2010,Abril,Linea 1,linea-1,chapultepec,63710.03333333333
2010,Abril,Linea 1,linea-1,cuauhtemoc,20691.0
2010,Abril,Linea 1,linea-1,gomez-farias,43059.63333333333
2010,Abril,Linea 1,linea-1,insurgentes,56115.96666666667
2010,Abril,Linea 1,linea-1,isabel-la-catolica,20912.5
2010,Abril,Linea 1,linea-1,juanacatlan,6807.166666666667
2010,Abril,Linea 1,linea-1,merced,52468.76666666667
2010,Abril,Linea 1,linea-1,moctezuma,26946.1
2010,Abril,Linea 1,linea-1,observatorio,59658.666666666664
2010,Abril,Linea 1,linea-1,pantitlan,51040.26666666667
2010,Abril,Linea 1,linea-1,pino-suarez,27607.666666666668
2010,Abril,Linea 1,linea-1,salto-del-agua,24753.633333333335
2010,Abril,Linea 1,linea-1,san-lazaro,30044.933333333334
2010,Abril,Linea 1,linea-1,sevilla,26263.066666666666
2010,Abril,Linea 1,linea-1,tacubaya,34678.833333333336
2010,Abril,Linea 1,linea-1,zaragoza,52683.1
2010,Abril,Linea 12,linea-12,atlalilco,0.0
2010,Abril,Linea 12,linea-12,calle-11,0.0
2010,Abril,Linea 12,linea-12,culhuacan,0.0
2010,Abril,Linea 12,linea-12,eje-central,0.0
2010,Abril,Linea 12,linea-12,ermita,0.0
2010,Abril,Linea 12,linea-12,hospital-20-de-noviembre,0.0
2010,Abril,Linea 12,linea-12,insurgentes-sur,0.0
2010,Abril,Linea 12,linea-12,lomas-estrella,0.0
2010,Abril,Linea 12,linea-12,mexicaltzingo,0.0
2010,Abril,Linea 12,linea-12,mixcoac,0.0
2010,Abril,Linea 12,linea-12,nopalera,0.0
2010,Abril,Linea 12,linea-12,olivos,0.0
2010,Abril,Linea 12,linea-12,parque-de-los-venados,0.0
2010,Abril,Linea 12,linea-12,periferico-oriente,0.0
2010,Abril,Linea 12,linea-12,san-andres-tomatlan,0.0
2010,Abril,Linea 12,linea-12,tezonco,0.0
2010,Abril,Linea 12,linea-12,tlahuac,0.0
2010,Abril,Linea 12,linea-12,tlaltenco,0.0
2010,Abril,Linea 12,linea-12,zapata,0.0
2010,Abril,Linea 12,linea-12,zapotitlan,0.0
2010,Abril,Linea 2,linea-2,allende,30158.333333333332
2010,Abril,Linea 2,linea-2,bellas-artes,22493.7
2010,Abril,Linea 2,linea-2,chabacano,26620.366666666665
2010,Abril,Linea 2,linea-2,colegio-militar,16316.0
2010,Abril,Linea 2,linea-2,cuatro-caminos,131925.3
2010,Abril,Linea 2,linea-2,cuitlahuac,19003.533333333333
2010,Abril,Linea 2,linea-2,ermita,18752.5
2010,Abril,Linea 2,linea-2,general-anaya,26306.5
2010,Abril,Linea 2,linea-2,hidalgo,25630.033333333333
2010,Abril,Linea 2,linea-2,nativitas,20174.9
2010,Abril,Linea 2,linea-2,normal,38336.433333333334
2010,Abril,Linea 2,linea-2,panteones,5119.5
2010,Abril,Linea 2,linea-2,pino-suarez,16215.933333333332
2010,Abril,Linea 2,linea-2,popotla,6219.633333333333
2010,Abril,Linea 2,linea-2,portales,15773.466666666667
2010,Abril,Linea 2,linea-2,revolucion,34551.933333333334
2010,Abril,Linea 2,linea-2,san-antonio-abad,17703.133333333335
2010,Abril,Linea 2,linea-2,san-cosme,18691.833333333332
2010,Abril,Linea 2,linea-2,tacuba,36890.03333333333
2010,Abril,Linea 2,linea-2,tasquena,87899.1
2010,Abril,Linea 2,linea-2,viaducto,17301.4
2010,Abril,Linea 2,linea-2,villa-de-cortes,13996.333333333334
2010,Abril,Linea 2,linea-2,xola,17940.3
2010,Abril,Linea 2,linea-2,zocalo-tenochtitlan,84465.7
2010,Abril,Linea 3,linea-3,balderas,7596.2
2010,Abril,Linea 3,linea-3,centro-medico,24085.9
2010,Abril,Linea 3,linea-3,copilco,41819.36666666667
2010,Abril,Linea 3,linea-3,coyoacan,24828.633333333335
2010,Abril,Linea 3,linea-3,deportivo-18-de-marzo,43313.76666666667
2010,Abril,Linea 3,linea-3,division-del-norte,21292.366666666665
2010,Abril,Linea 3,linea-3,etiopia-plaza-de-la-transparencia,31552.266666666666
2010,Abril,Linea 3,linea-3,eugenia,18525.8
2010,Abril,Linea 3,linea-3,guerrero,13605.833333333334
2010,Abril,Linea 3,linea-3,hidalgo,22400.766666666666
2010,Abril,Linea 3,linea-3,hospital-general,26052.433333333334
2010,Abril,Linea 3,linea-3,indios-verdes,124902.73333333334
2010,Abril,Linea 3,linea-3,juarez,19022.3
2010,Abril,Linea 3,linea-3,la-raza,40402.86666666667
2010,Abril,Linea 3,linea-3,miguel-angel-de-quevedo,28130.5
2010,Abril,Linea 3,linea-3,ninos-heroes,16198.033333333333
2010,Abril,Linea 3,linea-3,potrero,22811.033333333333
2010,Abril,Linea 3,linea-3,tlatelolco,23381.666666666668
2010,Abril,Linea 3,linea-3,universidad,68303.0
2010,Abril,Linea 3,linea-3,viveros-derechos-humanos,24956.933333333334
2010,Abril,Linea 3,linea-3,zapata,39088.96666666667
2010,Abril,Linea 4,linea-4,bondojito,6035.733333333334
2010,Abril,Linea 4,linea-4,canal-del-norte,8591.6
2010,Abril,Linea 4,linea-4,candelaria,6872.866666666667
2010,Abril,Linea 4,linea-4,consulado,4054.5
2010,Abril,Linea 4,linea-4,fray-servando,6975.3
2010,Abril,Linea 4,linea-4,jamaica,6806.7
2010,Abril,Linea 4,linea-4,martin-carrera,17067.033333333333
2010,Abril,Linea 4,linea-4,morelos,7511.633333333333
