sistema,nombre,nombre-uri,linea,linea-uri,est,cve-est,tipo,tipo-uri,alcaldias,alcaldias-uri,año
STC Metro,Pantitlán,pantitlan,01,linea-1,01,STC0101,Terminal / Transbordo,terminal-transbordo,Venustiano Carranza,venustiano-carranza,1984
STC Metro,Zaragoza,zaragoza,01,linea-1,02,STC0102,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Gomez Farías,gomez-farias,01,linea-1,03,STC0103,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Boulevard Puerto Aéreo,boulevard-puerto-aereo,01,linea-1,04,STC0104,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Balbuena,balbuena,01,linea-1,05,STC0105,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Moctezuma,moctezuma,01,linea-1,06,STC0106,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,San Lázaro,san-lazaro,01,linea-1,07,STC0107,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Candelaria,candelaria,01,linea-1,08,STC0108,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Merced,merced,01,linea-1,09,STC0109,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1969
STC Metro,Pino Suárez,pino-suarez,01,linea-1,10,STC0110,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Isabel La Católica,isabel-la-catolica,01,linea-1,11,STC0111,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Salto del Agua,salto-del-agua,01,linea-1,12,STC0112,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Balderas,balderas,01,linea-1,13,STC0113,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Cuauhtémoc,cuauhtemoc,01,linea-1,14,STC0114,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Insurgentes,insurgentes,01,linea-1,15,STC0115,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Sevilla,sevilla,01,linea-1,16,STC0116,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Chapultepec,chapultepec,01,linea-1,17,STC0117,Intermedia,intermedia,Cuauhtémoc / Miguel Hidalgo,cuauhtemoc;miguel-hidalgo,1969
STC Metro,Juanacatlán,juanacatlan,01,linea-1,18,STC0118,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Tacubaya,tacubaya,01,linea-1,19,STC0119,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,miguel-hidalgo,1970
STC Metro,Observatorio,observatorio,01,linea-1,20,STC0120,Terminal,terminal,Álvaro Obregón,alvaro-obregon,1972
STC Metro,Cuatro Caminos,cuatro-caminos,02,linea-2,01,STC0201,Terminal,terminal,Estado de México - Naucalpan de Juárez,estado-de-mexico-naucalpan-de-juarez,1984
STC Metro,Panteones,panteones,02,linea-2,02,STC0202,Intermedia,intermedia,Miguel Hidalgo,miguel-hidalgo,1984
