FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/03/2025;ES01;1-;729;588;421;423;414;356;254;315;544;709;895;1126;
01/03/2025;ES01;1=;1297;1417;843;920;1062;1086;1155;1276;1158;877;893;939;
01/03/2025;ES01;2-;638;496;345;309;300;358;302;377;589;853;1107;1221;
01/03/2025;ES01;2=;1309;1181;895;973;1076;1065;1049;1042;878;830;745;799;
01/03/2025;ES02;1-;412;405;351;275;275;278;276;198;236;278;336;429;
01/03/2025;ES02;1=;520;541;534;477;522;451;505;542;573;435;424;349;
01/03/2025;ES02;2-;1111;942;790;640;539;473;536;548;762;830;961;1033;
01/03/2025;ES02;2=;1009;1103;1080;1119;1016;1133;1005;879;956;1034;1123;1013;
01/03/2025;ES03;1-;514;427;314;225;172;190;211;399;502;719;1115;1207;
01/03/2025;ES03;1=;1418;1492;1559;944;868;1037;1138;1327;1387;1151;671;628;
01/03/2025;ES03;2-;382;293;169;105;87;117;104;150;276;296;482;588;
01/03/2025;ES03;2=;733;887;987;678;487;624;717;733;748;750;549;542;
01/03/2025;ES04;1-;402;348;310;195;215;210;209;182;313;434;521;632;
01/03/2025;ES04;1=;825;913;976;642;527;645;904;876;851;863;533;426;
01/03/2025;ES04;2-;274;257;161;131;111;111;138;143;185;330;381;535;
01/03/2025;ES04;2=;517;632;588;338;334;419;429;408;448;402;278;222;
01/03/2025;ES05;1-;2032;1507;1164;966;879;730;993;929;902;1097;1423;1621;
01/03/2025;ES05;1=;1778;1915;2096;1856;1714;1906;1950;1741;1681;1760;1824;1841;
01/03/2025;ES05;2-;622;494;366;279;222;282;529;542;692;987;1130;1292;
01/03/2025;ES05;2=;1325;1412;1351;1042;1073;1184;1281;1277;1189;1139;904;745;
01/03/2025;ES06;1-;102;59;49;37;49;79;112;204;271;322;460;543;
01/03/2025;ES06;1=;595;528;336;369;406;408;417;475;369;220;344;201;
01/03/2025;ES06;2-;128;98;51;46;42;74;90;155;260;328;440;479;
01/03/2025;ES06;2=;539;491;334;303;338;416;429;414;293;213;195;182;
01/03/2025;ES07;1-;1294;844;636;880;390;291;435;279;745;1033;1720;2119;
01/03/2025;ES07;1=;2069;2295;2495;1777;1552;1897;1154;1812;1732;1675;1581;1552;
01/03/2025;ES07;2-;616;477;331;480;206;458;685;534;1195;1276;1545;1728;
01/03/2025;ES07;2=;1759;2104;2012;1271;1329;1696;1318;1820;1679;1385;1029;864;
01/03/2025;ES08;1-;811;816;774;702;620;494;494;562;595;602;774;864;
01/03/2025;ES08;1=;825;792;827;787;838;804;756;764;789;812;734;805;
01/03/2025;ES08;2-;820;698;690;667;598;520;519;534;555;595;683;754;
01/03/2025;ES08;2=;814;814;805;835;831;796;729;757;752;822;802;793;
01/03/2025;ES09;1-;663;573;576;544;410;409;433;478;496;550;674;786;
01/03/2025;ES09;1=;858;645;748;804;747;667;617;582;510;698;698;639;
01/03/2025;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES10;2-;295;38;175;138;111;131;188;225;289;384;505;514;
01/03/2025;ES10;2=;393;530;541;454;434;512;529;498;495;458;399;330;
01/03/2025;ES11;1-;1809;1045;570;345;226;217;376;1048;2523;2231;2596;2802;
01/03/2025;ES11;1=;3349;3549;3975;3583;1917;1907;2564;2821;2622;2451;2052;1457;
01/03/2025;ES11;2-;1468;1132;756;472;347;339;376;718;997;1940;2086;2596;
01/03/2025;ES11;2=;3406;3806;4216;4542;2761;2613;3318;3453;3308;3132;2581;1958;
01/03/2025;ES12;1-;1356;1173;922;785;719;637;723;1040;1374;1542;1788;1821;
01/03/2025;ES12;1=;1612;1692;1557;1601;1675;1669;1654;1727;1765;1533;1464;1445;
01/03/2025;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES13;1-;918;740;617;553;464;395;346;384;557;809;961;1151;
01/03/2025;ES13;1=;1187;1198;898;853;1039;1057;1099;1183;1200;1002;997;925;
01/03/2025;ES13;2-;1130;936;799;593;421;457;310;383;588;798;1125;1179;
01/03/2025;ES13;2=;1337;1377;1049;949;1152;1154;1188;1295;1335;1226;1019;1088;
01/03/2025;ES14;1-;117;109;59;66;44;47;45;78;146;184;231;246;
01/03/2025;ES14;1=;271;245;210;196;203;191;199;240;230;155;121;95;
01/03/2025;ES14;2-;58;59;49;37;21;19;33;44;79;132;176;189;
01/03/2025;ES14;2=;232;213;175;115;131;150;167;179;191;129;102;99;
01/03/2025;ES15;1-;192;150;116;100;106;152;369;537;302;377;430;506;
01/03/2025;ES15;1=;548;467;268;277;339;382;314;346;358;272;245;241;
01/03/2025;ES15;2-;99;73;51;73;86;57;104;333;244;284;353;462;
01/03/2025;ES15;2=;549;762;278;228;311;387;371;376;304;200;153;125;
01/03/2025;ES16;1-;877;697;553;506;462;411;336;443;643;831;1114;1209;
01/03/2025;ES16;1=;1280;1200;982;940;1132;1065;1004;1068;1076;930;985;1002;
01/03/2025;ES16;2-;623;498;391;327;273;254;258;365;538;740;1031;1198;
01/03/2025;ES16;2=;1364;1260;794;811;988;1109;1169;1213;1001;791;603;682;
01/03/2025;ES17;1-;1177;931;688;621;580;572;672;1157;1547;1832;2368;2452;
01/03/2025;ES17;1=;2638;2618;1731;1832;2164;2430;2316;2421;2131;1442;1283;1150;
01/03/2025;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES18;1-;191;170;148;109;86;80;107;197;265;387;402;486;
01/03/2025;ES18;1=;577;465;267;293;381;404;416;588;391;258;240;220;
01/03/2025;ES18;2-;406;306;222;198;130;104;55;115;255;337;445;518;
01/03/2025;ES18;2=;648;679;500;376;483;505;509;639;588;477;465;481;
01/03/2025;ES19;1-;482;439;327;325;327;271;270;323;495;640;709;836;
01/03/2025;ES19;1=;873;852;620;565;652;692;686;698;709;583;552;598;
01/03/2025;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES20;1-;5097;4510;2720;1949;1455;1225;1477;2529;3001;4065;5704;6821;
01/03/2025;ES20;1=;8629;9011;9406;9637;7475;7052;7784;7263;6602;6344;5828;5185;
01/03/2025;ES20;2-;4215;3255;2049;1399;995;1145;1843;3480;4224;5196;6711;7249;
01/03/2025;ES20;2=;8343;8616;9562;9311;6408;6655;7895;8893;8802;8654;7048;5171;
01/03/2025;ES21;1-;169;126;113;89;99;103;86;140;314;350;480;481;
01/03/2025;ES21;1=;557;514;351;321;346;392;379;410;416;336;261;291;
01/03/2025;ES21;2-;292;226;186;175;171;186;217;303;627;792;1161;1244;
01/03/2025;ES21;2=;1365;1091;543;597;757;1014;1034;1108;876;408;329;347;
01/03/2025;ES22;1-;676;497;432;319;254;278;362;395;458;574;682;894;
01/03/2025;ES22;1=;951;1135;1122;814;757;850;922;997;1047;925;691;592;
01/03/2025;ES22;2-;802;628;422;377;309;273;353;330;322;526;626;813;
01/03/2025;ES22;2=;909;996;1017;800;770;892;864;891;886;883;740;680;
01/03/2025;ES23;1-;1190;1005;893;781;713;629;841;740;786;1057;1208;1397;
01/03/2025;ES23;1=;1657;1671;1859;1366;1186;1494;1469;1643;1706;1635;1328;1074;
01/03/2025;ES23;2-;1993;1721;1462;1295;1092;833;1080;864;880;1054;1289;1660;
01/03/2025;ES23;2=;1705;1907;1966;1784;1719;1852;1803;1643;1566;1652;1827;1909;
01/03/2025;ES24;1-;447;408;324;241;179;147;155;141;206;290;382;548;
01/03/2025;ES24;1=;604;642;681;585;528;585;576;546;586;529;505;440;
01/03/2025;ES24;2-;358;307;270;285;202;157;158;197;261;331;436;542;
01/03/2025;ES24;2=;573;594;599;458;486;511;457;502;527;448;359;381;
01/03/2025;ES25;1-;173;194;198;153;152;76;82;121;131;112;169;153;
01/03/2025;ES25;1=;131;149;165;172;143;144;146;133;158;171;148;173;
01/03/2025;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/03/2025;ES26;1-;278;243;230;222;161;149;116;104;139;153;209;254;
01/03/2025;ES26;1=;307;281;293;266;319;280;255;273;353;306;324;254;
01/03/2025;ES26;2-;346;340;321;294;239;179;206;193;287;315;402;443;
01/03/2025;ES26;2=;480;438;420;411;418;400;384;420;428;493;414;366;
01/03/2025;ES27;1-;2536;2188;1727;1374;1265;1113;1196;1099;1467;1603;2398;2765;
01/03/2025;ES27;1=;2967;2936;3092;2833;2531;2640;2788;2812;3067;3105;2747;2944;
01/03/2025;ES27;2-;805;701;629;502;527;546;452;534;582;602;726;906;
01/03/2025;ES27;2=;917;950;878;907;910;885;878;951;920;922;904;978;
01/03/2025;ES28;1-;200;110;84;78;93;128;157;245;358;477;579;609;
01/03/2025;ES28;1=;605;555;413;410;470;604;462;476;407;361;321;303;
01/03/2025;ES28;2-;214;151;139;122;180;266;302;374;516;552;700;713;
01/03/2025;ES28;2=;805;709;458;489;521;679;670;718;537;405;384;295;
01/03/2025;ES29;1-;1391;895;739;623;525;598;947;988;1036;1197;1382;1669;
01/03/2025;ES29;1=;1650;1840;1859;1543;1479;1571;1752;1693;1704;1459;1378;1216;
01/03/2025;ES29;2-;1274;735;583;524;444;500;851;777;805;971;1219;1433;
01/03/2025;ES29;2=;1449;1479;1624;1357;1272;1426;1428;1406;1471;1372;1172;1028;
01/03/2025;ES30;1-;283;213;200;145;109;119;138;105;148;211;296;356;
01/03/2025;ES30;1=;417;430;402;342;295;335;366;315;344;341;316;273;
01/03/2025;ES30;2-;410;338;325;276;232;210;210;189;278;408;536;567;
01/03/2025;ES30;2=;584;649;676;486;490;546;598;571;669;535;475;392;
01/03/2025;ES31;1-;111;85;64;43;34;46;47;35;85;112;146;201;
01/03/2025;ES31;1=;198;230;187;162;121;140;155;163;127;157;85;77;
01/03/2025;ES31;2-;82;65;55;39;37;45;47;59;93;145;202;258;
01/03/2025;ES31;2=;240;268;278;153;124;131;171;159;163;136;104;90;
01/03/2025;ES32;1-;343;315;280;233;192;186;203;201;274;383;490;596;
01/03/2025;ES32;1=;638;644;606;461;469;479;529;593;545;546;422;412;
01/03/2025;ES32;2-;441;314;204;190;157;110;147;121;129;215;269;326;
01/03/2025;ES32;2=;401;424;404;425;378;383;377;347;388;379;366;421;
01/03/2025;ES33;1-;334;225;145;82;80;124;202;289;420;563;674;889;
01/03/2025;ES33;1=;1009;1099;1294;818;628;829;1019;917;905;764;449;349;
01/03/2025;ES33;2-;244;122;76;57;51;52;101;251;419;320;459;547;
01/03/2025;ES33;2=;637;713;655;399;333;447;559;494;459;452;325;276;
