id,districtCode,rdf_type,district,neighborhoodCode,neighborhood,address,site,additionalInfo,equipmentNumber,features,operator,openingHours,management,utmX,utmY
ba583698a4e5ba87f925d84d741b4826,2,ChargingPoint,Arganzuela,1,Imperial,Calle Chulapos s/n,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,438893.73,4473226.26
efbf12793ab5cc8c058b30317cf34969,2,ChargingPoint,Arganzuela,6,Palos de Moguer,Ronda de Valencia 1,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,440624.23,4473016.22
69bd1b5fe6fad258cbe1a3e75675e509,3,ChargingPoint,Retiro,2,Adelfas,Calle Cerro de la Plata 4,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,442701.58,4472363.01
3f2d96d348e4086e5eea097d43292e81,3,ChargingPoint,Retiro,5,Jerónimos,"Calle Alfonso XII, 2",Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,441553.76,4474522.81
2d13bcb6eaa211753612e8d75ea14d12,4,ChargingPoint,Salamanca,1,Recoletos,Calle Goya 36,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,442227.27,4475141.53
4e5bf8861fd0590942af54613d4f49a1,4,ChargingPoint,Salamanca,2,Goya,Calle Goya 123,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,443066.59,4475108.89
99d94d337c72d1d134bcfc68f3b8237a,4,ChargingPoint,Salamanca,6,Castellana,Calle Castelló 105,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,442261.15,4476262.44
8408db3fe0fcbc170c7da7e790cd13bd,4,ChargingPoint,Salamanca,4,Guindalera,"Mercado de Guindalera. Plaza de San Cayetano, s/n",Mercado municipal,Mercado Municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,24,Convenio cesión,443112.6499,4476133.98
a259115e4c084feabcfcd091f34aeaac,10,ChargingPoint,Latina,6,Cuatro Vientos,"Calle Sinfonia, 9 (ES Ballenoil Aviación)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,24,Convenio cesión,434058.4892,4469583.3902
6c6f26b1e8d069514add56c18ea67dc9,19,ChargingPoint,Vicálvaro,2,Valdebernardo,"Bulevar José Prat, 27A",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,447320.4342,4472066.8777
cbe6011e26396a4e6ad4f85a434f9f3a,5,ChargingPoint,Chamartín,4,Hispanoamérica,"Avenida Alfonso XIII, esquina, Costa Rica",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,443390.46,4478901.39
b77682ab54d90dad5afc8bce2a49bc19,4,ChargingPoint,Salamanca,6,Castellana,Calle Velázquez 74,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,442015.28,4475633.05
19475ace547ec72bf2cdfc0ec3a72c7e,4,ChargingPoint,Salamanca,6,Castellana,Paseo Castellana 52,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,441650.0,4476325.0
dec22ddf0cd21d4a2beffafcf5c9e634,5,ChargingPoint,Chamartín,1,El Viso,Paseo Castellana 106,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,441420.49,4477426.85
8c85065989ae74bb6fe1376f572e399d,5,ChargingPoint,Chamartín,4,Hispanoamérica,Paseo Castellana 160,Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes. Equipo 150 kW: DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),REPSOL,24,Convenio vía pública,441528.45,4478870.2
d29c9e55277e6a37a79c6f9adb0d5e48,5,ChargingPoint,Chamartín,6,Castilla,Calle Cardenal Marcelo Spínola 6,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,443204.66,4479841.35
bec8348689c2dd2086ed924107eb2ea9,7,ChargingPoint,Chamberí,2,Arapiles,Calle Fernández de los Ríos 42,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,439847.45,4476302.27
372547ac60d2a6616c14bc228bfc2f4d,7,ChargingPoint,Chamberí,2,Arapiles,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,440038.83,4475778.21
538a4003bf67737c535c1ea10fcadffb,7,ChargingPoint,Chamberí,3,Trafalgar,Calle Fuencarral 114,Vía pública,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio vía pública,440414.18,4475676.4
866d18857f099edd8d9f9f27e291d2de,7,ChargingPoint,Chamberí,3,Trafalgar,Calle Manuel Silvela 16,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,440694.0,4475775.0
2d06aa2814b1321dea2393c9753ceb57,5,ChargingPoint,Chamartín,5,Nueva España,"Avenida Alberto Alcocer, 11",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,24,Convenio cesión,441794.8299,4478935.7502
d0200e4ced18f008683432670ea2e425,7,ChargingPoint,Chamberí,3,Trafalgar,Calle Santa Engracia 115,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,440607.26,4476613.59
e6c17fcc3e2243bd228086088c5f7ec2,7,ChargingPoint,Chamberí,4,Almagro,Paseo Castellana 33,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,441547.43,4475930.09
296218432be94bba34575d1a657d83fa,8,ChargingPoint,Fuencarral - El Pardo,5,La Paz,Calle de Sinesio Delgado 2,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,441683.6,4480640.99
158095f38aa44cb53211ef56cfc733e9,15,ChargingPoint,Ciudad Lineal,6,San Juan Bautista,Calle Bueso Pineda 29,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,24,Convenio vía pública,444431.81,4478363.82
d565db188119685e89a22e0fa9c98f20,1,ChargingPoint,Centro,1,Palacio,Mercado de la Cebada. Plaza de la Cebada,Mercado municipal,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,24,Convenio cesión,439749.07,4473590.81
ebc3e54f9536f4cb77f98bed9ecd1abd,5,ChargingPoint,Chamartín,5,Nueva España,"Calle Mateo Inurria, 4",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,441796.67,4479756.43
3ca5d79341246777b23ff60d47fdb17b,6,ChargingPoint,Tetuán,6,Berruguete,"Calle Ofelia Nieto, 64",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,439921.87,4479217.94
39fea441a65d2de6732a615d05323bb7,8,ChargingPoint,Fuencarral - El Pardo,6,Valverde,ES Repsol 96849 - Calle Abetal 8 - Las Tablas,Estación de servicio,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,443805.23,4483684.43
1de177b9c28b4774636976c6013dab3c,9,ChargingPoint,Moncloa - Aravaca,3,Ciudad Universitaria,"ES Hipódromo(CR A-6, 8)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,435728.68,4479193.77
dba6c74cba092c16e63d38876fb1d627,9,ChargingPoint,Moncloa - Aravaca,6,El Plantío,ES Aravaca - El Plantío (Avenida Victoria 34),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,430479.36,4480122.57
c178f43bf6e04900ad05405f249cb245,10,ChargingPoint,Latina,6,Cuatro Vientos,ES Repsol 33826 - Pº Extremadura 543 (A5 PK9),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,432896.01,4470164.94
20636e3cc63962b2579bcdfbafcc1ed6,10,ChargingPoint,Latina,6,Cuatro Vientos,"CRED PAU CARABANCHEL, Av. de la Peseta",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,434997.82,4468934.81
0b9a5bcd4f4fdc97f8a0b6cb93b813d5,10,ChargingPoint,Latina,7,Águilas,Mercado de las Águilas - Calle de José Cadalso,Mercado municipal,Mercado Municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,24,Convenio cesión,434762.24,4469976.18
8ab6042ddd9b691f79ff52e5690f6166,13,ChargingPoint,Puente de Vallecas,4,Palomeras Sureste,Avenida de la Albufera 319,Aparcamiento,Aparcamiento privado rotación,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ECOLINERAS,24,Convenio cesión,446350.62,4470558.49
8b25f3c13b57684b9468bbfe7df3e316,16,ChargingPoint,Hortaleza,6,Valdefuentes,Avenida María de Portugal 15,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,24,Convenio cesión,443849.63,4483208.55
066e792933f04894c48e8956bd099e33,17,ChargingPoint,Villaverde,3,Butarque,"Avda. de los Rosales 147 M-301 km 4,1",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,443195.3,4465688.69
be366576db50c29184da68cfad717311,20,ChargingPoint,San Blas - Canillejas,6,Rejas,"ES Repsol Barajas II (CR N-2 P.K. 12,60 D)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,24,Convenio cesión,451967.11,4477750.54
54b87ce7f4d73850fe52ae1bc4cab348,1,ChargingPoint,Centro,6,Sol,Plaza de Jacinto Benavente 6,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,24,EMT,440341.55,4474015.14
77260d4cf7d8dc78024c8ede7a140c52,4,ChargingPoint,Salamanca,1,Recoletos,Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española,Aparcamiento,Aparcamiento público rotación. EMT,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,24,EMT,441474.08,4475110.19
e73bfda4b90ef6b0efd9b2e086164cb4,4,ChargingPoint,Salamanca,5,Lista,Plaza de Marqués de Salamanca,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,24,EMT,442391.2,4475742.85
80b59bd0547aa0cf343828896d3fe1fb,5,ChargingPoint,Chamartín,6,Castilla,Calle Hiedra 36,Aparcamiento,Aparcamiento público rotación. EMT,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,24,EMT,442442.16,4480402.5
4d28172f6430517c31fd6bc93ed3f36b,1,ChargingPoint,Centro,1,Palacio,Plaza de la Cebada,Aparcamiento,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,,Iniciativa privada,439744.7485,4473589.8399
6135095289138bee6b7c894bc6332b2d,1,ChargingPoint,Centro,5,Universidad,Calle Alberto Aguilera 9,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,,Iniciativa privada,439914.74,4475692.23
431db55b2e019eb81e1740ce7d9720df,3,ChargingPoint,Retiro,2,Adelfas,Plaza del Conde de Casal 6,Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,,Iniciativa privada,443198.96,4473071.62
ff8c69fa2ebead64dcdbacd080b2067b,8,ChargingPoint,Fuencarral - El Pardo,8,El Goloso,"Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo)",Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,,Iniciativa privada,441485.27,4484580.97
fbd567a5b0e4120def9c15bd04bc21ca,16,ChargingPoint,Hortaleza,3,Canillas,Avenida de Machupichu 105,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC,,Iniciativa privada,446082.58,4479561.39
e71e62902e4e2a8554e66c089fb78621,16,ChargingPoint,Hortaleza,6,Valdefuentes,Avenida de Niceto Alcala Zamora 20,Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),GIC/ GALP,,Iniciativa privada,445077.48,4482762.25
3995023c5508597e5a27afafc50e5dae,18,ChargingPoint,Villa de Vallecas,1,Casco Histórico de Vallecas,"Avenida Eje Central, 7",Estación de servicio,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,,Iniciativa privada,444372.2,4468659.86
e7fb91fd736456a5edc11d85e11619c7,18,ChargingPoint,Villa de Vallecas,1,Casco Histórico de Vallecas,Carretera de Villaverde a Vallecas 278,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,,Iniciativa privada,445890.74,4469312.6
ed4f94850d51efa2dbfc816acc0b7cb5,21,ChargingPoint,Barajas,5,Corralejos,Avenida del Consejo de Europa 2,Estación de servicio,Iniciativa privada,4,350 kW conector CC (CCS),GIC / CEPSA,,Iniciativa privada,447722.67,4478857.49
d092604db648e8d8dbf5dff23713fdde,21,ChargingPoint,Barajas,5,Corralejos,Avenida del Partenón 5 (Recinto IFEMA),Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,,Iniciativa privada,447742.82,4479473.56
6abf21da4a729feb732728d80e2365d9,2,ChargingPoint,Arganzuela,6,Palos de Moguer,"Calle del General Lacy, 21",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,24,Concesión demanial,441386.7515,4472591.668
2c559421d45ceddeede365ed25044c75,3,ChargingPoint,Retiro,2,Adelfas,"Calle de Luis Peidró, 11",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,442874.0634,4472020.7909
2b51d211ef17db433a7cbc25a21b18ad,14,ChargingPoint,Moratalaz,1,Pavones,Calle Hacienda de Pavones 231 (enfrente del LIDL),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,446142.3212,4472412.6041
ee9ed14fe95c4cea8db5ea157dd51fbe,15,ChargingPoint,Ciudad Lineal,5,San Pascual,"Calle Esteban Mora, 43",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,444526.4106,4476666.0154
f8833b217bc02d57f05f682341a9081d,16,ChargingPoint,Hortaleza,4,Pinar del Rey,"Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1)",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,445579.8599,4480025.5274
3decf74f5c2dca068b212f6b06284bcb,17,ChargingPoint,Villaverde,4,Los Rosales,Calle de Santa Florencia (enfrente del 1),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,24,Concesión demanial,441314.0361,4466782.201
a4d847ffb29691fdbbf030c133414e56,19,ChargingPoint,Vicálvaro,1,Casco histórico de Vicálvaro,"Calle Villardondiego, 34",Vía pública,,3,"Lote 2. 2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2",TOTALENERGIES,24,Concesión demanial,448353.1795,4472998.542
9b91f4720a5385ee4b39c05b04455ad5,19,ChargingPoint,Vicálvaro,3,Valderrivas,"Calle de Minerva, 17",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,24,Concesión demanial,449179.8255,4472656.5806
