num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,longitud,latitud,positiva_alcohol,positiva_droga
2023S040309,15/02/2024,14:05:00,CALL. TESORO / CALL. MINAS,18,1,CENTRO,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70585962201,40.425009251980356,false,false
2024S000027,01/01/2024,16:30:00,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,2,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.73363439871,40.387142474081976,false,false
2024S000058,02/01/2024,9:45:00,GTA. LOZARES / AVDA. REAL DE PINTO,0,17,VILLAVERDE,Caída,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.70763346887,40.339979587924894,false,false
2024S000081,02/01/2024,19:30:00,"CALL. HORTALEZA, 96",96,1,CENTRO,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,-3.69805172153,40.42462422567297,false,false
2024S000081,02/01/2024,19:30:00,"CALL. HORTALEZA, 96",96,1,CENTRO,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),Peatón,De 65 a 69 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.69805172153,40.42462422567297,false,false
2024S000108,03/01/2024,8:30:00,"CALL. BRAVO MURILLO, 154",154,6,TETUÁN,Alcance,LLuvia intensa,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70329370063,40.45141227874345,false,false
2024S000168,03/01/2024,11:30:00,"PASEO. EXTREMADURA, 21",21,10,LATINA,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,-3.72785218848,40.41364763243892,false,false
2024S000274,04/01/2024,20:30:00,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. ISLA PARAGUA,37,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,LLuvia intensa,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,-3.68698335265,40.49302366008534,false,false
2024S000275,04/01/2024,20:05:00,CALL. SERRANO / CALL. CONDE DE ARANDA,10,4,SALAMANCA,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,-3.68838034061,40.42182635128122,false,false
2024S000361,06/01/2024,0:45:00,CALL. ALCALA / CALL. JULIO CAMBA,200A,4,SALAMANCA,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,3,Ingreso superior a 24 horas,-3.66401665677,40.43040131066659,false,false
2024S000389,06/01/2024,13:08:00,CALL. ALEJANDRO MORAN / CALL. JUAN FRANCISCO,11,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,-3.7330165144,40.386659902272285,false,false
2024S000469,07/01/2024,13:15:00,"CTRA. TELEFERICO, 1",1,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,-3.7545142414,40.422197447354385,false,false
2024S000469,07/01/2024,13:15:00,"CTRA. TELEFERICO, 1",1,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,-3.7545142414,40.422197447354385,false,false
2024S000511,08/01/2024,11:00:00,"CALL. ALCALA, 265",265,15,CIUDAD LINEAL,Colisión lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,14,Sin asistencia sanitaria,-3.65736981309,40.431853715282585,false,false
