PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,tieneInternetPublico,tieneWifi,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD 1,ACCESIBILIDAD 2,ACCESIBILIDAD 3,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,direccion_completa,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,barrio_slug,COD-DISTRITO,DISTRITO,distrito_slug,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
25526,Biblioteca Pública Antonio Mingote (latina),,"Apertura de lunes a sábado.  De lunes a viernes de 9 a 21 horas. Sábados de 9 a 14 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: sábados: 19 de abril, 3 de mayo y todos los sábados de julio, agosto y septiembre; 2 de noviembre; 7 de diciembre. Domingos: todos; Festivos: 1 de enero; 6 de enero:17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto; 1 y 10 de noviembre; 6 y 8 de diciembre; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (antigua estación de Fanjul) (línea C5),"Lectura fácil, letra grande, audiodescripción. Centros de Interés: Rumano y Árabe.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c73e995a8bf5d010VgnVCM2000000c205a0aRCRD,RAFAEL FINAT,CALLE,CALLE RAFAEL FINAT 51,V,51,,,,,MADRID,MADRID,28044,7,Las Aguilas,las-aguilas,10,Latina,latina,434685,4470157,40.37944179159947,-3.7694389972002424,915 093 625,917 068 193,bib.latina@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
1774,Biblioteca Pública Elena Fortún (retiro),,"Apertura de lunes a sábado.  De lunes a viernes de 9 a 21 horas. Sábados de 9 a 14 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.   Días de cierre: sabados: 19 de abril, 3 de mayo y todos los sábados de julio, agosto y septiembre. Domingos: todos. Festivos: 1 de enero; 6 de enero:17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto; 1 y 10 de noviembre; 6 y 8 de diciembre; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,"Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)  Bus: 10, 14, 32, 56, 63, 143, 145, E.","Lectura fácil, letra grande, audiodescripción.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44213d0b5e71c010VgnVCM1000000b205a0aRCRD,DOCTOR ESQUERDO,CALLE,CALLE DOCTOR ESQUERDO 189,V,189,,,,,MADRID,MADRID,28007,2,Adelfas,adelfas,3,Retiro,retiro,442942,4472768,40.403577814444176,-3.6724086076957154,915 019 146,915 018 130,bib.retiro@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
1770,Biblioteca Pública Hortaleza,,Apertura de lunes a viernes.  De lunes a jueves de 9 a 20:30 horas. Viernes de 9 a 14:30 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: Fines de semana y festivos; del 2 al 7 de enero;  28 de febrero; 3 de marzo; del 11 al 21 de abril ; 15 de mayo; 10 de noviembre; los meses de julio y agosto; del 22 al 31 de diciembre.,,false,false,Metro: Parque de Santa María (línea 4),,1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e42e995a8bf5d010VgnVCM2000000c205a0aRCRD,ABERTURA,CALLE,CALLE ABERTURA 2,V,2,,,,,MADRID,MADRID,28033,4,Pinar Del Rey,pinar-del-rey,16,Hortaleza,hortaleza,444936,4480925,40.47719279779815,-3.6496196128895835,917 633 284,917 633 284,bib.hortaleza@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
1773,Biblioteca Pública Javier Marías (moratalaz),,"Apertura de lunes a viernes.  De lunes a viernes de 9 a 21 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: sábados: todos Domingos: todos. Festivos: 1 de enero; 6 de enero:17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto;10 de noviembre; 8 de diciembre; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,Metro: Artilleros (línea 9),"Lectura fácil, letra grande, audiodescripción.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=457e995a8bf5d010VgnVCM2000000c205a0aRCRD,CORREGIDOR ALONSO DE TOBAR,CALLE,CALLE CORREGIDOR ALONSO DE TOBAR 5,V,5,,,,,MADRID,MADRID,28030,5,Fontarron,fontarron,14,Moratalaz,moratalaz,444892,4472800,40.403992358842835,-3.6494384856607582,914 394 688,914 370 234,bib.moratalaz@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
1771,Biblioteca Pública José Acuña (moncloa - Aravaca),,"Apertura de lunes a sábado.  De lunes a viernes de 9 a 21 horas. Infantil-juvenil de 15 a 21 horas. Sábados de 9 a 14 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.:  Días de cierre: sábados 19 de abril; 3 de mayo y todos los sábados de julio, agosto y septiembre.. Domingos: todos; Festivos: 1 de enero; 6 de enero:17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto; 1 y 10 de noviembre; 6 y 8 de diciembre; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3).",,3,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD,QUINTANA,CALLE,CALLE QUINTANA 9,V,9,,,,,MADRID,MADRID,28008,2,Arguelles,arguelles,9,Moncloa-aravaca,moncloa-aravaca,439184,4475503,40.427947044751,-3.716950806640097,915 413 619,,bib.acuna@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
123303,Biblioteca Pública José Hierro (usera),,"Apertura de lunes a domingo.  De lunes a viernes de 9 a 21 horas. Fines de semana y festivos de 11 a 19 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: 1 y 6  de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,Metro: Plaza Elíptica (líneas 6 y 11),"Lectura fácil, audiodescripción, letra grande. Centro de Interés Chino.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=943979262ef5d010VgnVCM1000000b205a0aRCRD,RAFAELA YBARRA,AVENIDA,AVENIDA RAFAELA YBARRA 43,V,43,,,,,MADRID,MADRID,28026,7,Pradolongo,pradolongo,12,Usera,usera,439681,4470386,40.38188230129181,-3.7106157111470615,914 229 501,914 691 901,bib.usera@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
1764,Biblioteca Pública José Luis Sampedro (chamberí),,"Apertura de lunes a sábado.  De lunes a viernes de 9 a 21 horas. Sábados de 9 a 14 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.   Días de cierre: sábados: 19 de abril, 3 de mayo y todos los sábados de julio, agosto y septiembre. Domingos: todos. Festivos: 1 de enero; 6 de enero: 17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto; 1 y 10 de noviembre; 6, 8, 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,"Metro: Iglesia (línea 1), Quevedo (línea 2), Alonso Cano (línea 7)","Lectura fácil, letra grande, audiodescripción. Centro de Interés Búlgaro.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a2279262ef5d010VgnVCM1000000b205a0aRCRD,FELIPE EL HERMOSO,CALLE,CALLE FELIPE EL HERMOSO 4,V,4,,,,,MADRID,MADRID,28010,3,Trafalgar,trafalgar,7,Chamberi,chamberi,440657,4476319,40.435399621146054,-3.69966592825407,914 459 782,914 472 444,bib.chamberi@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
181101,Biblioteca Pública Luis Martín Santos (villa De Vallecas),,"Apertura de lunes a domingo.  De lunes a viernes de 9 a 21 horas. Fines de semana y festivos de 11 a 19 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: 1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,"Metro: Villa de Vallecas (línea 1)  Renfe: C1, C2 Y C7.","Lectura fácil, letra grande, audiodescripción.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09ac38d60b41c010VgnVCM2000000c205a0aRCRD,ANTONIO MARIA SEGOVIA,PLAZA,PLAZA ANTONIO MARIA SEGOVIA 2,V,2,,,,,MADRID,MADRID,28031,2,Santa Eugenia,santa-eugenia,18,Villa De Vallecas,villa-de-vallecas,447909,4470217,40.38092043731836,-3.6136725045662423,912 760 231,,bib.villavallecas@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
5765642,Biblioteca Pública Luis Rosales (carabanchel),,"Apertura de lunes a domingo.  De lunes a viernes de 9 a 21 horas. Fines de semana y festivos de 11 a 19 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: 1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,Metro: Carabanchel Alto (línea 11),"Lectura fácil, audiodescripción, letra grande, braille.",1,6,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a73f884ad3f9210VgnVCM1000000b205a0aRCRD,ANTONIA RODRIGUEZ SACRISTAN,CALLE,CALLE ANTONIA RODRIGUEZ SACRISTAN 7,V,7,,,,,MADRID,MADRID,28044,5,Puerta Bonita,puerta-bonita,11,Carabanchel,carabanchel,436493,4469473,40.37342554545538,-3.7480707331054375,912 760 233,914 613 331,bib.carabanchel@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
86719,Biblioteca Pública María Moliner (villaverde),,"Apertura de lunes a sábado.  De lunes a viernes de 9 a 21 horas. Sábados de 9 a 14 horas. Todos los días los servicios de lectura en sala y acceso a internet finalizarán 15 minutos antes del cierre.  Días de cierre: sábados: 19 de abril, 3 de mayo y todos los sábados de julio, agosto y septiembre. Domingos: todos. Festivos: 1 de enero; 6 de enero:17 y 18 de abril; 1, 2 y 15 mayo; 25 de julio;15 agosto; 1 y 10 de noviembre; 6 y 8 de diciembre; 24, 25 y 31 de diciembre.",wifi gratuito.,false,true,Metro: Villaverde Alto (línea 3)  Cercanías Renfe: Puente Alcocer (C5),"Lectura fácil, audiodescripción, letra grande.",1,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=127979262ef5d010VgnVCM1000000b205a0aRCRD,VILLALONSO,CALLE,CALLE VILLALONSO 16,V,16,,,,,MADRID,MADRID,28021,1,Villaverde Alto C.H.,villaverde-alto-c.h.,17,Villaverde,villaverde,439694,4466794,40.34952488592754,-3.7101159464904097,917 230 194,917 979 458,bib.villaverde@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas
