fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
1 de enero de 2024,28079,Madrid,1,Centro,1,Centro,145.411,73.734,71.677
1 de enero de 2024,28079,Madrid,2,Arganzuela,2,Arganzuela,156.559,73.311,83.248
1 de enero de 2024,28079,Madrid,3,Retiro,3,Retiro,119.757,54.339,65.418
1 de enero de 2024,28079,Madrid,4,Salamanca,4,Salamanca,149.778,66.374,83.404
1 de enero de 2024,28079,Madrid,5,Chamartín,5,Chamartín,148.111,66.860,81.251
1 de enero de 2024,28079,Madrid,6,Tetuán,6,Tetuán,166.211,76.072,90.139
1 de enero de 2024,28079,Madrid,7,Chamberí,7,Chamberí,141.984,62.918,79.066
1 de enero de 2024,28079,Madrid,8,Fuencarral-El Pardo,8,Fuencarral-El Pardo,253.898,119.721,134.177
1 de enero de 2024,28079,Madrid,9,Moncloa-Aravaca,9,Moncloa-Aravaca,125.223,58.121,67.102
1 de enero de 2024,28079,Madrid,10,Latina,10,Latina,250.396,116.437,133.959
1 de enero de 2024,28079,Madrid,11,Carabanchel,11,Carabanchel,274.406,128.997,145.409
1 de enero de 2024,28079,Madrid,12,Usera,12,Usera,149.113,70.801,78.312
1 de enero de 2024,28079,Madrid,13,Puente de Vallecas,13,Puente de Vallecas,253.048,120.530,132.518
1 de enero de 2024,28079,Madrid,14,Moratalaz,14,Moratalaz,95.123,43.412,51.711
1 de enero de 2024,28079,Madrid,15,Ciudad Lineal,15,Ciudad Lineal,230.035,105.836,124.199
1 de enero de 2024,28079,Madrid,16,Hortaleza,16,Hortaleza,205.182,97.439,107.743
1 de enero de 2024,28079,Madrid,17,Villaverde,17,Villaverde,167.952,80.563,87.389
1 de enero de 2024,28079,Madrid,18,Villa de Vallecas,18,Villa de Vallecas,122.337,59.153,63.184
1 de enero de 2024,28079,Madrid,19,Vicálvaro,19,Vicálvaro,89.772,43.490,46.282
1 de enero de 2024,28079,Madrid,20,San Blas-Canillejas,20,San Blas-Canillejas,166.583,78.823,87.760
1 de enero de 2024,28079,Madrid,21,Barajas,21,Barajas,49.612,23.837,25.775
1 de enero de 2024,28079,Madrid,1,Centro,11,Palacio,24.332,12.008,12.324
1 de enero de 2024,28079,Madrid,1,Centro,12,Embajadores,48.590,25.475,23.115
1 de enero de 2024,28079,Madrid,1,Centro,13,Cortes,11.171,5.523,5.648
1 de enero de 2024,28079,Madrid,1,Centro,14,Justicia,18.739,9.497,9.242
1 de enero de 2024,28079,Madrid,1,Centro,15,Universidad,34.073,16.850,17.223
1 de enero de 2024,28079,Madrid,1,Centro,16,Sol,8.506,4.381,4.125
1 de enero de 2024,28079,Madrid,2,Arganzuela,21,Imperial,22.668,10.538,12.130
1 de enero de 2024,28079,Madrid,2,Arganzuela,22,Acacias,36.475,16.823,19.652
1 de enero de 2024,28079,Madrid,2,Arganzuela,23,Chopera,20.256,9.242,11.014
1 de enero de 2024,28079,Madrid,2,Arganzuela,24,Legazpi,19.858,9.712,10.146
1 de enero de 2024,28079,Madrid,2,Arganzuela,25,Delicias,29.465,13.888,15.577
1 de enero de 2024,28079,Madrid,2,Arganzuela,26,Palos de la Frontera,25.790,12.112,13.678
1 de enero de 2024,28079,Madrid,2,Arganzuela,27,Atocha,2.047,996,1.051
1 de enero de 2024,28079,Madrid,3,Retiro,31,Pacífico,33.743,15.154,18.589
1 de enero de 2024,28079,Madrid,3,Retiro,32,Adelfas,19.025,8.854,10.171
1 de enero de 2024,28079,Madrid,3,Retiro,33,Estrella,22.774,10.454,12.320
