ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
10030549,Fuentes de beber,181,CASCO HISTORICO DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,447452.205,4469608.527,ETRS89,40.37540321,-3.61900539,CALLE,MUELA DE SAN JUAN,5,28031,zona estancial en plaza de milmarcos,20153262,2025-05-13 00:00:00.0,FUE_18_0089,FUE25,ZV,PERSONAS,FUENTE_ACCESIBLE
10040804,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,447614.36,4481601.607,ETRS89,40.48345438,-3.61808367,Avenida,Avenida de las Fuerzas Armadas,11,28055,,,,,PV24,,,
10040805,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,447609.434,4482556.756,ETRS89,40.49205854,-3.61822074,Avenida,Avenida de las Fuerzas Armadas,11,28055,,,,,PV24,,,
10040806,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,447272.239,4482211.098,ETRS89,40.48892333,-3.62217073,Avenida,Avenida de las Fuerzas Armadas,11,28055,,,,,PV24,,,
10040807,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,446917.24,4480303.739,ETRS89,40.47171823,-3.62619969,Calle,Calle Ariadna,2,28033,,,,,PV24,,,
10075664,Fuentes de beber,091,CASA DE CAMPO,09,MONCLOA-ARAVACA,OPERATIVO,438306.688,4475035.162,ETRS89,40.423662,-3.7272565,CALLE,SAN POL DE MAR,7,28008,junto a zona estancial,11051524,2025-07-14 00:00:00.0,FUE_09_0142,FUE25,ZV,PERSONAS,FUENTE_ACCESIBLE
10098794,Fuentes de beber,075,RIOS ROSAS,07,CHAMBERI,OPERATIVO,441338.743,4477445.701,ETRS89,40.44559656,-3.6917389,PASEO,CASTELLANA,65,28046,"nuevas ministerios, estación metro",11041676,2025-10-22 00:00:00.0,FUE_07_0048,FUE25,VP,PERSONAS,FUENTE_ACCESIBLE
10115756,Fuentes de beber,112,OPAÑEL,11,CARABANCHEL,OPERATIVO,438128.26,4470967.79,ETRS89,40.38700808,-3.72896429,AVENIDA,OPORTO,86,28019,frente a escaleras a pl. valle de oro,11070375,2025-10-21 00:00:00.0,FUE_11_0158,FUE25,ZV,PERSONAS,FUENTE_ACCESIBLE
10116446,Fuentes de beber,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,449034.429,4468039.571,ETRS89,40.36136717,-3.6002426,CALLE,EMBALSE DE NAVACERRADA,27,28051,próximo a área infantil 'embalse de manzanares',31018980,2025-10-23 00:00:00.0,FUE_18_0090,FUE25,ZV,PERSONAS,MU-37AA
10116451,Fuentes de beber,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,448972.692,4467951.001,ETRS89,40.36056549,-3.60096258,AVENIDA,SALMEDINA,61,28051,en área canina,31074242,2025-10-23 00:00:00.0,FUE_18_0091,FUE25,ZV,PERSONAS_Y_MASCOTAS,MIXTA TERRIER
1118924,Fuentes de beber,091,CASA DE CAMPO,09,MONCLOA-ARAVACA,OPERATIVO,437855.772,4475632.61,ETRS89,40.4290105,-3.73263,CALLE,RIBERA DEL MANZANARES,123,28008,fuente de la colonia manzanares  (fuente de la teja y el sopapo),11051714,2017-04-27 00:00:00.0,FUE_09_0119,FUE25,VP,PERSONAS,PATRIMONIO_HISTORICO
3530207,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448695.16,4482723.21,ETRS89,40.49362587,-3.60542308,CALLE,JULIO CANO LASSO,47,28055,conector jordi sole tura,31040778,2017-05-16 00:00:00.0,FUE_16_0152,FUE25,ZV,PERSONAS,MU-37A
3531365,Fuentes de beber,087,MIRASIERRA,08,FUENCARRAL-EL PARDO,OPERATIVO,438842.224,4483134.84,ETRS89,40.49666643,-3.7217244,CALLE,MARIA DE MAEZTU,148,28049,,31049966,,FUE_08_0147,FUE25,ZV,PERSONAS,EGEA
